Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn);Høyeste middelvind (døgn)
Bergen - Florida;SN50540;08.04.2021;1,9;1;9
Bergen - Florida;SN50540;09.04.2021;3,3;23,1;13,7
Bergen - Florida;SN50540;10.04.2021;2,5;9,2;6,4
Bergen - Florida;SN50540;11.04.2021;3,8;2,7;4,6
Bergen - Florida;SN50540;12.04.2021;6,6;0;8
Bergen - Florida;SN50540;13.04.2021;4,8;0;7,7
Bergen - Florida;SN50540;14.04.2021;4,4;0,9;5,2
Bergen - Florida;SN50540;15.04.2021;5,8;1,5;5,1
Bergen - Florida;SN50540;16.04.2021;7,3;0;4,2
Bergen - Florida;SN50540;17.04.2021;8,3;0,1;3,8
Bergen - Florida;SN50540;18.04.2021;10;0;5
Bergen - Florida;SN50540;19.04.2021;11,1;0;6,6
Bergen - Florida;SN50540;20.04.2021;8,6;0;9,3
Bergen - Florida;SN50540;21.04.2021;5,2;9,9;11,7
Bergen - Florida;SN50540;22.04.2021;6,1;1,5;11,8
Bergen - Florida;SN50540;23.04.2021;5,7;0,6;8,2
Bergen - Florida;SN50540;24.04.2021;5,3;0;8,4
Bergen - Florida;SN50540;25.04.2021;5,8;0;9,3
Bergen - Florida;SN50540;26.04.2021;6,4;0;6
Bergen - Florida;SN50540;27.04.2021;7;0;4,8
Bergen - Florida;SN50540;28.04.2021;6,8;0;3,5
Bergen - Florida;SN50540;29.04.2021;7,1;0,3;6,2
Bergen - Florida;SN50540;30.04.2021;7,8;0;5,3
Bergen - Florida;SN50540;01.05.2021;7,2;0;5,2
Bergen - Florida;SN50540;02.05.2021;6,9;0,2;5,4
Bergen - Florida;SN50540;03.05.2021;6,2;0;4,7
Bergen - Florida;SN50540;04.05.2021;8,3;0,8;6,6
Bergen - Florida;SN50540;05.05.2021;10;0;9,5
Bergen - Florida;SN50540;06.05.2021;6,9;0,5;6,7
Bergen - Florida;SN50540;07.05.2021;8,4;0,3;6,7
Bergen - Florida;SN50540;08.05.2021;6,8;0;7,6
Bergen - Florida;SN50540;09.05.2021;10,1;3,5;8,1
Bergen - Florida;SN50540;10.05.2021;12,1;10,5;12,9
Bergen - Florida;SN50540;11.05.2021;13;3,9;12,1
Bergen - Florida;SN50540;12.05.2021;12,9;0;5,4
Bergen - Florida;SN50540;13.05.2021;11,2;0,1;5,2
Bergen - Florida;SN50540;14.05.2021;13,4;0,1;4,2
Bergen - Florida;SN50540;15.05.2021;13,2;0,4;4,3
Bergen - Florida;SN50540;16.05.2021;9,8;2,4;5,5
Bergen - Florida;SN50540;17.05.2021;11,6;1,3;6,9
Bergen - Florida;SN50540;18.05.2021;8,8;1,8;5,7
Bergen - Florida;SN50540;19.05.2021;9,5;5,2;4,2
Bergen - Florida;SN50540;20.05.2021;9,4;0,7;6,1
Bergen - Florida;SN50540;21.05.2021;10,1;0;5,4
Bergen - Florida;SN50540;22.05.2021;12,2;0;4,5
Bergen - Florida;SN50540;23.05.2021;11,8;2,7;4,3
Bergen - Florida;SN50540;24.05.2021;11,3;16,5;6,6
Bergen - Florida;SN50540;25.05.2021;13,4;2,4;8,6
Bergen - Florida;SN50540;26.05.2021;16,4;0,1;8,7
Bergen - Florida;SN50540;27.05.2021;15,9;0;5,3
Bergen - Florida;SN50540;28.05.2021;13,9;0;5,5
Bergen - Florida;SN50540;29.05.2021;13,6;0,1;6,2
Bergen - Florida;SN50540;30.05.2021;13,5;0;4,9
Bergen - Florida;SN50540;31.05.2021;13,1;0;4,7
Bergen - Florida;SN50540;01.06.2021;15,9;0;4,8
Bergen - Florida;SN50540;02.06.2021;18,8;0;5,4
Bergen - Florida;SN50540;03.06.2021;20,2;0;7,8
Bergen - Florida;SN50540;04.06.2021;17,2;0;7,9
Bergen - Florida;SN50540;05.06.2021;17,5;0,4;4,2
Bergen - Florida;SN50540;06.06.2021;16;2,2;4,9
Bergen - Florida;SN50540;07.06.2021;15,6;0;5,1
Bergen - Florida;SN50540;08.06.2021;16,5;0;4,7
Bergen - Florida;SN50540;09.06.2021;16,7;0;7,4
Bergen - Florida;SN50540;10.06.2021;15,8;5,5;6,6
Bergen - Florida;SN50540;11.06.2021;14,9;5,5;8,6
Bergen - Florida;SN50540;12.06.2021;11,9;2,3;6,9
Bergen - Florida;SN50540;13.06.2021;11,6;2,1;10,7
Bergen - Florida;SN50540;14.06.2021;11,3;49;7
Bergen - Florida;SN50540;15.06.2021;10,9;19,1;6,2
Bergen - Florida;SN50540;16.06.2021;13,6;0,9;10,1
Bergen - Florida;SN50540;17.06.2021;15,7;3,7;8,1
Bergen - Florida;SN50540;18.06.2021;13,7;9,3;6,3
Bergen - Florida;SN50540;19.06.2021;13,6;0;5,4
Bergen - Florida;SN50540;20.06.2021;13,3;2,7;4,9
Bergen - Florida;SN50540;21.06.2021;13,2;3,4;7,2
Bergen - Florida;SN50540;22.06.2021;14,4;0,1;6,4
Bergen - Florida;SN50540;23.06.2021;14,3;0;5,5
Bergen - Florida;SN50540;24.06.2021;15,7;0;6
